"winningHorseId","horses","level","settledAt","durationSeconds"
"FLP","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2025-10-29T15:28:04.019Z","76.00300759077072"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level1","2025-10-29T15:33:40.479Z","97.10001647472382"
"GUN","[""GUN"",""FLP""]","Level1","2025-10-29T15:43:58.162Z","375.93998461961746"
"MET","[""SFE"",""PSN"",""MET"",""LFS"",""SJU"",""VOD""]","Level2","2025-10-29T16:06:13.364Z","863.450999557972"
"SUN","[""FLP"",""WSY"",""DDD"",""GUN"",""LWN"",""SUN""]","Level3","2025-10-29T16:12:49.262Z","105.42698800563812"
"SJU","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-10-29T16:28:33.892Z","574.2269799113274"
"SFE","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2025-10-29T16:41:49.789Z","133.0480009317398"
"LWN","[""LFS"",""DDD"",""LWN"",""PSN"",""VOD"",""WSY""]","Level1","2025-10-29T16:49:04.535Z","55.99800646305084"
"WSY","[""LFS"",""DDD"",""PSN"",""VOD"",""WSY""]","Level1","2025-10-29T16:52:47.156Z","19.10301446914673"
"VOD","[""LFS"",""DDD"",""PSN"",""VOD""]","Level1","2025-10-29T16:58:12.084Z","28.32300066947937"
"LFS","[""LFS"",""DDD"",""PSN""]","Level1","2025-10-29T17:05:35.555Z","186.10999435186386"
"PSN","[""DDD"",""PSN""]","Level1","2025-10-29T17:14:55.612Z","292.53999441862106"
"DDD","[""DDD""]","Level2","2025-10-29T17:39:36.633Z","1383.5319846868515"
"MET","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-10-29T17:49:46.057Z","176.83601528406143"
"FLP","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2025-10-31T16:55:02.990Z","162.72601336240768"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-10-31T21:14:27.513Z","86.12602651119232"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2025-10-31T21:25:14.110Z","357.15199559926987"
"FLP","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-11-04T16:33:01.197Z","204.30100411176682"
"SUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level3","2025-11-05T00:30:46.407Z","482.8669846057892"
"SFE","[""SFE"",""FLP"",""MET"",""VOD"",""WSY"",""LFS""]","Level1","2025-11-12T17:40:48.251Z","71.3169738650322"
"LWN","[""DDD"",""GUN"",""PSN"",""SJU"",""LWN"",""SUN""]","Level1","2025-11-12T20:22:56.086Z","204.47702407836914"
"PSN","[""GUN"",""SJU"",""WSY"",""PSN"",""SFE"",""MET""]","Level2","2025-11-14T16:29:20.352Z","629.0180325508118"
"DDD","[""FLP"",""DDD"",""LFS"",""SUN"",""LWN"",""VOD""]","Level2","2025-11-14T19:32:39.157Z","159.0730056166649"
"DDD","[""SJU"",""LWN"",""PSN"",""SUN"",""DDD"",""FLP""]","Level3","2025-11-16T16:23:57.573Z","253.77098321914673"
"GUN","[""WSY"",""LFS"",""SFE"",""GUN"",""VOD"",""MET""]","Level3","2025-11-16T21:59:10.434Z","145.56300044059753"
"VOD","[""MET"",""LFS"",""SFE"",""PSN"",""SJU"",""VOD""]","Level1","2025-11-18T17:40:44.668Z","122.73097783327103"
"GUN","[""FLP"",""WSY"",""DDD"",""LWN"",""SUN"",""GUN""]","Level1","2025-11-18T21:25:09.164Z","138.48402053117752"
"SFE","[""SFE"",""PSN"",""MET"",""LFS"",""SJU"",""VOD""]","Level1","2025-11-19T17:00:31.672Z","45.044977962970734"
"SUN","[""FLP"",""WSY"",""DDD"",""GUN"",""LWN"",""SUN""]","Level2","2025-11-19T20:14:15.566Z","209.39801931381226"
"LFS","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2025-11-20T20:36:53.472Z","281.42699897289276"
"PSN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-11-20T23:25:53.892Z","75.99101811647415"
"MET","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-11-23T15:58:39.605Z","157.41000920534134"
